Location	Category
sulfide chimneys on capelinhos vent site	Hydrothermal
lost city biofilm	Hydrothermal
tahi moana above plume background	Hydrothermal
diffuse vent dff1	Hydrothermal
carbonate chimney	Hydrothermal
mid-cayman rise vent fluids	Hydrothermal
landfill leachate	Leachate
landfill leachate sludge	Leachate
landfill leachate-treating activated sludge bioreactor	Leachate
leachate	Leachate
leachate and drilled waste	Leachate
leachate from a composite leachate cistern at an active municipal landfill in southern ontario	Leachate
leachate from a leachate well at an active municipal landfill in southern ontario	Leachate
leachate from landfill lab-scale methanogenic bioreactors	Leachate
leachate of a brown algae reservoir	Leachate
leachate treatment plant	Leachate
neus_a leachate from a leachate well at an active municipal landfill in the north eastern united states	Leachate
neus_b leachate from a leachate well at an active municipal landfill in the north eastern united states	Leachate
neus_c leachate from a leachate well at an active municipal landfill in the north eastern united states	Leachate
neus_cswmc leachate from a leachate collection cistern at an active municipal landfill in the north eastern united states	Leachate
neus_d1 leachate from a leachate well at an active municipal landfill in the north eastern united states	Leachate
neus_d2 leachate from a leachate well at an active municipal landfill in the north eastern united states	Leachate
neus_e leachate from a leachate well at an active municipal landfill in the north eastern united states	Leachate
neus_f1 leachate from a leachate well at an active municipal landfill in the north eastern united states	Leachate
neus_f2 leachate from a leachate well at an active municipal landfill in the north eastern united states	Leachate
mesophilic two-stage laboratory-scale leach-bed biogas reactor system	Leachate
clay mineral from mine	Mine
coal	Mine
coal bed cutting	Mine
coal bed methane well	Mine
coal mine	Mine
coal mine pond sediment	Mine
coal mine powder	Mine
coal mine soil	Mine
coal mine water	Mine
coal mining site soil	Mine
coal samples cultured in anaerobic conditions in minimal salts plus yeast media	Mine
coal seam formation water	Mine
coal seam gas extraction bore well	Mine
coal seam gas water treatment pond	Mine
coal spoil heap	Mine
coal strip mine refuse	Mine
coal-tar contaminated soil	Mine
coaltar contaminated soil; farmer gas works site	Mine
contaminated mine soils	Mine
copper mine	Mine
copper mine tailings	Mine
gold copper mine	Mine
gold mine crushed ores	Mine
highly arsenic-contaminated soil from metal (gold; copper; iron) mines	Mine
iron mine	Mine
iron mine borehole	Mine
iron mine of hongshan	Mine
iron mine soil	Mine
iron mineral soil	Mine
iron sludge	Mine
lanping lead-zinc tailings	Mine
leachate from the gold ore mining spoils at an abandoned mining site	Mine
lead-zinc ore	Mine
lengshuijiang antimony mine	Mine
manganese mining soil	Mine
manganese mining soil in hunan province; central-south china	Mine
mature fine tailings from oil sands tailings pond	Mine
mature fine tailings from oil sands tailings pond grown in anaerobic alkane degrading enrichment culture	Mine
mature fine tailings from oil sands tailings pond grown in methanogenic alkane degrading enrichment culture	Mine
medieval mine	Mine
mine	Mine
mine drainage	Mine
mine drainage originating from the mine catherine and jane consols in north wales	Mine
mine drainage stream	Mine
mine heap	Mine
mine sediments	Mine
mine service water	Mine
mine tailing	Mine
mine tailings	Mine
mine tailings from active mining site	Mine
mine waste	Mine
mine wastewater	Mine
mine water	Mine
mineral grit embedded in adhesive paper	Mine
mineral material	Mine
mining area	Mine
mining area near to la esperanza in murcia; spain	Mine
mining sediment	Mine
mining waste	Mine
produced water collected from a coal-bed methane (cbm) producing well	Mine
soft coal slag collected after removing a 10 cm top layer using a shovel from site rh2 mg	Mine
soil collected from a gold-copper mine	Mine
soil from a zinc and copper mine	Mine
soil from zinc mining area	Mine
soil in an open quarry for the mining of brown coal; heated by underground coal combustion	Mine
soil of gold mine cave; korea; kongju	Mine
soil sample from lime-stone open pit mine	Mine
surface soil of a manganese mine	Mine
tungsten sand tailings	Mine
uranium mine water	Mine
uranium ore deposits soil	Mine
uranium tailings	Mine
15% reads came from bioreactor metagenome samn04151528 and 85% came from mine drainage metagenome samn04151554	Mine
can coal mine drainage	Mine
gold-copper mine soil	Mine
periphery of the zn-pb mine of les avinieres	Mine
potash mine tailings	Mine
potassium feldspar mining area	Mine
soudan mine sediment	Mine
surface water and sediment from copper mine drainage	Mine
underground horizons of a flooded mine in russia	Mine
underground mine sediment	Mine
wolfram mine tailing	Mine
zijin gold and copper mine	Mine
zinc tailings	Mine
iron hydroxide deposits	Mine
water from uranium mine	Mine
manganese diggings	Mine
manganese mine	Mine
abandoned lead-zinc mine	Mine
abandoned lead-zinc ore	Mine
abandoned pyrite mine	Mine
antimony mine	Mine
antimony tailing	Mine
antimony vein of nakase mine	Mine
deep subseafloor coal bed	Mine
root nodule from lead-zinc mine	Mine
sediment; arsenic ore	Mine
aspo hard rock laboratory (hrl) deep subsurface site groundwater	Mine
aspo hrl	Mine
crushed rocks in gara djebilet iron mine	Mine
seepage from phosphate mine	Mine
water from noranda blackbird cobalt mine	Mine
iron-reducing culture derived from a small water body in an iron ore region	Mine
kavart mine	Mine
sediment from an acidic stream in an abandoned copper mine	Mine
sludge of manganese mine	Mine
rusty iron	Mine
suncor tailing pond 6 meters	Mine
suncor tailing pond sample	Mine
t2 tailings	Mine
t5 medium	Mine
dalong manganese mine	Mine
percolate solution of the bioleaching heap at a copper mine	Mine
yates shaft; surf	Mine
underground soil of a copper mine	Mine
antarctic seashore soil	MS
coastal dune soil	MS
coastal soil	MS
coastal soil sample	MS
mariana trench sediment	MS
mariana trench surficial sediment	MS
mariane sediment	MS
marine benthic turfs	MS
marine marsh sediment	MS
marine microbial mat sampled in great sippewissett salt marsh at the atlantic coast (woods hole; mass.; usa).	MS
marine mud	MS
marine mudflat sediment	MS
marine mudflats	MS
marine rock surface	MS
marine sand	MS
marine sand sediment at a depth of about 500 m; the northern south china sea	MS
marine sand sediment sample	MS
marine sediment	MS
marine sediment (0.45 mbsf) from aarhus bay site m5	MS
marine sediment (envo:00002113)	MS
marine sediment [envo:03000033]	MS
marine sediment 2-8 meters below seafloor	MS
marine sediment adjacent to sperm whale carcasses collected by the unmanned rov hyperdolphin	MS
marine sediment after 17 days of incubation with lipid additions	MS
marine sediment after 17 days of incubation with protein additions	MS
marine sediment after 25 days of incubation with lipid additions	MS
marine sediment after 5 days of incubation with lipid additions	MS
marine sediment collected from the south shetland islands; antarctica	MS
marine sediment core gs08_gc12; 126 cmbsf	MS
marine sediment core gs10_pc15; 103 cmbsf	MS
marine sediment core gs10_pc15; 163 cmbsf	MS
marine sediment core gs10_pc15; 223 cmbsf	MS
marine sediment envo_03000033	MS
marine sediment from coastal area	MS
marine sediment from intertidal zone	MS
marine sediment from iodp expedition 334	MS
marine sediment from kongsfjorden	MS
marine sediment from northwestern african upwelling area	MS
marine sediment from sea cucumber breeding pond	MS
marine sediment from the coast of weihai	MS
marine sediment from the north sea	MS
marine sediment from the south china sea	MS
marine sediment from tidal flat	MS
marine sediment near hydrothermal vents	MS
marine sediment of the sea of japan	MS
marine sediment sample	MS
marine sediment sample bbl-16	MS
marine sediment sample bbl-31	MS
marine sediment sand	MS
marine sediment; black sea	MS
marine sediment; cultured under 152mpa pressure	MS
marine sediment; mid-chain alkane-oxidizing enrichment culture at 70c	MS
marine sediment; station j; 17-20 cmbsf	MS
marine sediment[envo:03000033]	MS
marine sediments	MS
marine sediments from a bay	MS
marine sediments from okinawa trough	MS
marine sediments of the ninth arctic scientific expedition	MS
marine sediments of the south china sea	MS
marine sludge	MS
marine soil	MS
mediterranean sea sediments	MS
nitrite oxidizing enrichment from marine coastal surface sediments	MS
north atlantic rise deep-sea sediment	MS
north sea (sediment)	MS
north sea sediment	MS
norwegian sea marine sediment	MS
samples of tidal flat sediment from the yellow sea	MS
sandy intertidal sediment	MS
sediments of the mariana trench	MS
shore line sediment	MS
shore seawater	MS
shoreline sediment	MS
single cell amplified by mda; marine sediments	MS
soil flooded by seawater	MS
soil from seashore	MS
soil near the ocean	MS
anaerobic sediment of brackish water ditch near jadebusen; north sea; germany	MS
bay sediment	MS
beach	MS
beach mud	MS
beach sand	MS
beach sand contaminated with macondo oil	MS
beach sand samples (comprising of small lime stones) from the sea mouth of chilika lake	MS
beach sand; biarritz; france	MS
beach sediment	MS
beach sediment sample	MS
beach sediment surface	MS
beach silt	MS
coastal sand	MS
coastal sand dunes	MS
coastal sediment	MS
coastal sediment from cordgrass spartina alterniflora	MS
coastal sediment sample	MS
coastal sediments	MS
coastal sediments of guanyinshan beach; xiamen	MS
coastal sediments; brackish; contaminated	MS
deep marine sediment [envo_00002113]	MS
deep marine sediment [envo:00002113]	MS
deep-sea seamount	MS
deep-sea seawater	MS
deep-sea sediment	MS
deep-sea sediment from mariana trench	MS
deep-sea sediment sample	MS
deep-sea sediment samples	MS
deep-sea sediments	MS
deep-sea sulfide sample	MS
deep-sea surface sediment	MS
flotation deposits | sea sand	MS
intertidal boulder	MS
intertidal region	MS
intertidal sandy sediment	MS
intertidal sediment	MS
intertidal sediment [envo:00002179]	MS
intertidal sediments	MS
ocean sediment	MS
ocean sediment core sample 3730	MS
ocean sediment of laizhou bay	MS
ocean; marine sediment	MS
offshore sediment	MS
pelagic marine sediments	MS
pelagic sediment	MS
pelagic sediments	MS
pelagic sediments on the east flank of the arctic mid-ocean ridge	MS
sea mud	MS
sea sand	MS
sea sediment	MS
sea sediments	MS
sea tidal flat	MS
sea water sediment collected from a depth of about 5 meters	MS
sea-tidal flat	MS
sea-tidal flat sediment	MS
seabed sediments	MS
seashore sand	MS
seaside sediment	MS
surface marine sediments	MS
0-2 cm sediment from station bhb10 in the bohai sea	MS
0-2 cm sediment from station m8 in the bohai sea	MS
isolated from tidal flat sediment	MS
36-38 cm sediment from station bhb10 in the bohai sea	MS
36-38 cm sediment from station m3 in the bohai sea	MS
42-44 cm sediment from station m3 in the bohai sea	MS
a deep-sea sediment sample from the new britain trench	MS
a deep-sea sediment sample from the new britain trench; solomon sea	MS
anaerobic continuous culture of janssand intertidal sediments (german wadden sea)	MS
anaerobic ethane-degrading enrichment culture inoculated with marine sediment	MS
anaerobic marine mud	MS
anoxic marine sediment	MS
antarctic intertidal sandy sediment	MS
antarctic intertidal sediment	MS
antarctic marine sediment	MS
antarctica: surface deep-sea sediments in the ross sea	MS
deap sea cold seep sediment	MS
deep marine sediment	MS
deep ocean sediments	MS
deep sea rock	MS
deep sea sediment	MS
deep sea sediment from the atlantic ocean	MS
deep sea sediment in red sea	MS
deep sea sediment of lakshadweep	MS
deep sea sediment sample 4862-08 in thermophilic enrichment culture	MS
deep sea sediments	MS
deep seafloor sediment	MS
enrichment culture inoculated with marine sediment	MS
enrichment culture with nitrite as sole energy and nitrogen source; inoculated with marine sediment	MS
ex-situ cultivation bioreactor using corn curb in a mixture of seawater; seawater sediment; and sea mud	MS
ex-situ cultivation technique from seawater and sediment	MS
indian ocean sediment	MS
tidal flat	MS
tidal flat area	MS
tidal flat at asan bay; korea	MS
tidal flat microbial mat	MS
tidal flat of the red beach	MS
tidal flat sediment	MS
tidal flat sediment at boseong in south korea	MS
tidal flat sediment collected from the coast at boseong on the south sea in south korea	MS
tidal flat sediment collected from the coast at youngkwang of the yellow sea in south korea	MS
tidal flat sediment of oyster farming area	MS
tidal flat sediment on the southern coast of korea	MS
tidal flat sediments	MS
tidal flats	MS
tidal marine sediment	MS
tidal mudflat	MS
tidal mudflat [envo:00000241]	MS
tidal mudflate	MS
tidal sand-flat sediment	MS
tidal sediment	MS
tidalflat sediment	MS
pyrene-degrading consortium enriched from deep-sea sediment	MS
sediment from marine environment	MS
sediments in deep sea	MS
sediments of coastal wetland	MS
shallow geothermally heated seafloor	MS
shallow marine bay sediment near the effluent of a municipal waste water treatment plant	MS
shallow marine sediment	MS
shallow marine sediment [envo:03000034]	MS
shallow marine sediments	MS
shallow water; soft marine sediments	MS
surface seafloor hadal sediment	MS
deep sea sediment sample 4871-20 in thermophilic enrichment culture	MS
2 filaments amplifed by mda; marine sediment enrichment	MS
20-22 cm sediment from station m3 in the bohai sea	MS
22-24 cm sediments from a site close to mussel colony in haima cold seep area in south china sea	MS
28-30 cm sediment from station m3 in the bohai sea	MS
a submerged sand bank	MS
a tidal flat	MS
a tidal flat sediment	MS
arctic marine sediment of kongsfjorden; svalbard	MS
arctic ocean sediment	MS
biofloc rearing seawater	MS
bothnian sea sediment; site nb8	MS
bothnian sea site nb8 sediments 37-42 cm depth; used to inoculate methane- and iron-fed bioreactor (t0); bioreactor biomass 16 months after reactor inoculation (t1); and 29 months after reactor inoculation (t2)	MS
bottom marine sediments	MS
bottom sediments; sea of japan	MS
coastal deposit	MS
coastal marine sediment	MS
coastal water sediment	MS
coastal waters sediment	MS
costal sediment	MS
culture containing one eukaryotic species and its associated bacterial epibionts isolated from marine sediment	MS
sediment sample at the tidal zone of haicang coast	MS
sediment sea sand	MS
banks of congaree river	MS
black sand from seashore of jeju island	MS
black sea sediment	MS
foreshore tidal flat sediment	MS
seagrass sediment	MS
sediment from 275 cm below seafloor of arabian sea oxygen minimum zone (asomz) center	MS
sediment from a sea cucumber culture pond	MS
sediment sample collected from the coast	MS
sediment sample from 3000m depth benthal south china sea	MS
sediments from coastal area	MS
sediments from coastal wetland	MS
single cell amplified by mda; deep marine sediment	MS
single-cell amplified by mda; marine sediments	MS
subseafloor basaltic crust	MS
subseafloor sediment	MS
sediment 18.1-18.2m below seafloor	MS
sediment 900 m below the seafloor	MS
chagos laccadive ridge	MS
clean clay beads and oil-coated clay beads in marine seawater	MS
cold seep marine sediment	MS
cold seep sediment	MS
cold seep sediment sample 8 mpa	MS
cold seep sediment sample 8 mpa ii	MS
yellow sea tidal flat sediment	MS
the sediments of the mariana trench	MS
tillamook county	MS
methanogenic consortium capable of long-chain paraffin degradation (sdb culture) enriched from contaminated sediments of san diego bay; california; degrades n-alkanes from c25 to c50	MS
offshore sediment of a tamarix chinensis forest	MS
offshore sediments	MS
paraffin-degrading consortium; enrichment culture inoculated with marine sediment; grown with octacosane under sulfate-reducing conditions	MS
red sea lagoons-bareen soil	MS
redoxcline baltic sea	MS
redoxcline black sea	MS
white filamentous biomass growing on seagrass stems near kelp deposits on a beach at helgoland	MS
subsea tunnel biofilm collected in 2016; 2017; 2019 and 2020	MS
subseafloor olivine biofilm	MS
surface sediments in shallow sea	MS
the marine sediment	MS
single anme:srb aggregates separated by facs after boncat. aggregates were obtained from sediment incubations of a sediment horizon from a push core collected at a methane seep site identified by a grey bacterial mat. this site in the costa rica margin is called  mussel beach  and is found on mound 12. sample is identified by sample# 9063.	MS
single anme:srb aggregates separated by facs after boncat. aggregates were obtained from sediment incubations of a sediment horizon from a push core collected at a methane seep site identified by an orange microbial mat in santa monica mounds. sample is identified by sample# 7059.	MS
single cell isolated by mda; marine sediment trap; non-poisoned; 110m depth	MS
sediment around spartina alterniflora	MS
sediment associated with methane hydrate from krishna godavari basin	MS
sediment collected at a cold seep field	MS
sediment from coastal area	MS
sediment from coastal area of weihai	MS
sediment from ferromanganese module field	MS
sediment from intertidal zone	MS
sediment from japan trench	MS
sediment in cold seep	MS
sediment in spartina alterniflora	MS
sediment of getbol; the korean tidal flat	MS
sediment of holothurian pond	MS
sediment sample collected at the water-sediment interface from the south pacific gyre; iodp site u1369	MS
sediment sample of kongsfizorden; arctic	MS
sediment sample of seagrass meadow	MS
sediment; sinclair inlet of puget sound; bremerton; wa	MS
west sea sediment in south korea	MS
atlantic intertidal shore	MS
atlantis massif sediment	MS
bentonite	MS
bentonite formations	MS
bioplastic (pha) biofilm from water-sediment interface of coastal lagoon	MS
pcb-degrading enrichment culture inoculated with sediments from baltimore harbor sediments	MS
pebbles collected from pingleshwar beach	MS
sample #3730; push core (pc) 16 from cruise r/v atlantis leg at-15-68; alvin dive 4635 at hydrate ridge south from a site of active methane seepage; the upper 0-6 cm of sediment from the push core was used	MS
sample #5579; elevator 3a push core 41 containing 12 cm of sediment; collected at hydrate ridge north during jason ii dive j2-593 from an area of active seepage marked by bubble ebullition and surface expression of white microbial mat	MS
sample #7086; 6-9 cm from methane seep sediment push core	MS
sample #7086; 6-9 cm from methane seep sediment push core; sample pc51mix; 0-6 cm and 9-15 cm from methane seep sediment push core	MS
sub-seafloor sulfide deposits	MS
surface of a pp plastic straw found in shallow seewater of a public beach	MS
surface of a stone collected on the sea shore	MS
surface tidal flat	MS
tide pool; rock surface scraping	MS
hadal surficial sediment	MS
launched marine sediment by the tsunami accompanying the great east japan earthquake	MS
geological bay sediment	MS
holothurian pond sediment	MS
moledo do minho beach; portugal	MS
narragansett bay	MS
schilksee (kiel fjord / baltic sea)	MS
methane hydrate marine sediment	MS
white aggregates on sediment and seaweed	MS
olavius algarvensis individual from shallow marine sediments near sea grass bed	MS
hypoxic fjord sediment	MS
ikaite	MS
coastal wetland	MS
sea cave	MW
raw seawater	MW
farmland soil irrigated with seawater	MW
mariana trench water	MW
marine aquaculture pond	MW
marine aquarium; la jolla; ca	MW
marine benthic mats	MW
marine biofilm	MW
marine biofilm surface microlayer	MW
marine broth	MW
marine bulk water (wco station l4)	MW
marine cold seep in kagosima bay	MW
marine environment	MW
marine environments	MW
marine metagenome	MW
marine microbial intertidal mats	MW
marine microbial mat	MW
marine mn-oxidizing enrichment culture	MW
marine phycosphere	MW
marine plastic biofilm	MW
marine residues	MW
marine sample	MW
marine seawater	MW
marine subsurface aquifer	MW
marine surface water	MW
marine upper littoral rock-pool	MW
marine water	MW
marine water body	MW
marine water from arabian gulf	MW
marine water sample	MW
marine water; cyanobacterial mat	MW
marine waters	MW
mariner hydrothermal plume 25m	MW
maritime zone	MW
mediterranean sea	MW
mediterranean sea - sea grass bed	MW
mediterranean seawater	MW
mediterranean seawater enriched with a specific particulate matter	MW
nearshore foaming sea waters	MW
nearshore seawater	MW
north atlantic	MW
north atlantic ocean	MW
north pacific	MW
north pacific ocean	MW
north sea (bottom water)	MW
northeast pacific open ocean	MW
northern irish seawater	MW
polar sea water	MW
red sea water	MW
red sea water column station 108 - depth 500m	MW
red sea water column station 149 - depth 200m	MW
red sea water column station 149 - depth 500m	MW
red sea water column station 169 - depth 10m	MW
red sea water column station 22 - depth 500m	MW
red sea water column station 34 - depth 10m	MW
red sea water column station 34 - depth 200m	MW
red sea water column station 34 - depth 258m	MW
red sea water column station 34 - depth 50m	MW
red tide seawater	MW
red tide waters	MW
rope in sea water	MW
sargassum hemiphyllum ecosystem seawater	MW
seawater	MW
seawater (beach)	MW
seawater [envo:00002149]	MW
seawater 50 meter in depth	MW
seawater 60 km offshore	MW
seawater and sand	MW
seawater and sediment from deep-sea hydrothermal vent field	MW
seawater at 1;000 m	MW
seawater at 1000 m	MW
seawater at a depth of 700 m	MW
seawater at sediment depth	MW
seawater at the outlet of a sandfilter in port shelter; hong kong sar; china	MW
seawater collected from a tide pool	MW
seawater collected on the coast at visakhapatnam	MW
seawater enriched with oyster shells and brown algae	MW
seawater enrichment with lysine	MW
seawater enrichment with o-hydroxybenzoate	MW
seawater from 55 gos stations collected during the global ocean sampling expedition	MW
seawater from dcm layer	MW
seawater from hadal water (10;400-10;500 m)	MW
seawater from hwajinpo	MW
seawater from hydrothermal area 26	MW
seawater from junction between the ocean and freshwater	MW
seawater from mariculture cage of adult gilthead seabream (sparus aurata)	MW
seawater from mussel farm	MW
seawater from oxygen minimum zone	MW
seawater from shallow-sea hydrothermal system	MW
seawater from south china sea	MW
seawater from the atlantic spanish coast	MW
seawater from the delaware coast	MW
seawater from the north sea by helgoland	MW
seawater from the shrimp farm	MW
seawater from the strait of malacca	MW
seawater from yellow sea	MW
seawater lake chemocline	MW
seawater layers	MW
seawater obtained off coast of vinaroz	MW
seawater of a fish culture pond	MW
seawater of malipo beach; yellow sea; korea.	MW
seawater of mallipo; korea.	MW
seawater of recirculating aquaculture system biofilter	MW
seawater off the coast of georgia	MW
seawater plated on vibrio selective media	MW
seawater sample	MW
seawater sample collected from red sea at 20 m depth	MW
seawater sediment suspension containing hexadecane	MW
seawater surface	MW
seawater under a natural surface slick	MW
seawater was collected from off geoje island in the south sea; south korea	MW
seawater with yellow-gray fringes from point 21; hydrothermal area	MW
south atlantic ocean	MW
south atlantic sub-tropical gyre (station kn192-5-11)	MW
south china sea	MW
south kaneohe bay; near mcbh; oahu; hawaii	MW
south pacific ocean	MW
bay seawater	MW
bay warer	MW
bay water	MW
bay water spring sample 20 psu in greater than .8 micron size fraction	MW
bay water spring sample 20 psu in less than .8 micron size fraction	MW
bay water summer d sample 29 psu in greater than .8 micron size fraction	MW
bay water summer n sample 29 psu in less than .8 micron size fraction	MW
bay water summer sample 29 psu in less than .8 micron size fraction	MW
coastal marine water	MW
coastal ocean surface water	MW
coastal ocean water [envo:00002150]	MW
coastal sea water	MW
coastal sea water [envo:00002150]	MW
coastal sea water column he361-02 at a depth of 3m	MW
coastal sea water column he361-13 at a depth of 350m	MW
coastal sea water column he361-13 at a depth of 3m	MW
coastal sea water column he361-14 at a depth of 3m	MW
coastal sea water from resevior	MW
coastal sea-ice	MW
coastal sea-ice brine	MW
coastal sea-ice sample at a depth of 0.8 m	MW
coastal seawater	MW
coastal seawater collected at woods hole; ma	MW
coastal seawater in the east sea of korea; at a depth of 100 m	MW
coastal seawater of jeju island	MW
coastal site with brackish water	MW
deepsea water	MW
deepsea water sample	MW
four week timepoint of microcosm treated with crude oil after inoculation with natural surface seawater; biological replicate 1	MW
four week timepoint of microcosm treated with crude oil after inoculation with natural surface seawater; biological replicate 2	MW
four week timepoint of microcosm treated with photo-oxidized crude oil after inoculation with natural surface seawater; biological replicate 2	MW
intertidal zone	MW
intertidal zone of antarctic great wall bay	MW
intertidal zone seawater	MW
intertidal zone; green biofilm on a pebblestone	MW
intertidal zone; on green algae	MW
intertidal zone; on green macroalga	MW
intertidal zone; sabellaria alveolata reef	MW
intertidal zone; wave-exposed rock surface scraping	MW
ionian sea from 3500 m depth	MW
ocean surface seawater	MW
ocean water	MW
ocean water [envo:00002149]	MW
ocean water from marine abyssalpelagic zone	MW
ocean water sample from hawaii ocean time-series (hot) cruises	MW
oceanic bathypelagic zone	MW
oceanic sample	MW
open ocean	MW
plastic in seawater	MW
sea foam	MW
sea of japan	MW
sea surface microlayer	MW
sea surface water	MW
sea water	MW
sea water (sand filtered); china; hong kong	MW
sea water [envo:00002149]	MW
sea water and mud	MW
sea water aquarium outflow; la jolla; california; u.s.a.	MW
sea water column at depth of maximum chlorophyll layer	MW
sea water containing marine algae	MW
sea water kiel fjord	MW
sea water mixed with spring water; jeju island	MW
sea water of a tidal flat	MW
sea water sample; coastal; surf zone	MW
sea water; tank; berkeley; california; usa; 1971	MW
sea-surface microlayer	MW
sea-surface microlayer sampled inside a natural surface slick	MW
subsurface seawater	MW
subtidal sediment	MW
surface sediment from makarov basin at a depth 4000 m and layer 36-38 cm	MW
surface sediment from makarov basin at depth 4000 m and layer 8-12 cm	MW
surface sediment of the south china sea	MW
unialgal culture in marine water	MW
upper water in south china sea	MW
water from marine environment	MW
yellow sea	MW
yellow sea water	MW
(mes) mesopelagic zone	MW
(mix) marine epipelagic mixed layer	MW
15m depth in pacific ocean	MW
2-3 km off coast sea water; valencia	MW
300 m depth seawater	MW
black sea water	MW
a piece of sunken bamboo in the marine environment	MW
agricultural seawater	MW
antarctic sea ice	MW
antarctic seawater	MW
antarctica: sea off king george island	MW
deep mariana trench	MW
deep sea	MW
deep sea cold seep	MW
deep sea mooring chain biofilm	MW
deep sea of the indian ocean	MW
deep sea water	MW
deep sea water from the atlantic ocean	MW
deep sea water samples	MW
deep seawater	MW
deep seawater from mariana trench	MW
deep seawater from the indian ocean	MW
deep seawater of the east sea of korea	MW
deep-sea	MW
deep-sea asphalt volcano chapopote knoll at the water depth of 2925 m	MW
deep-sea cold seep carbonates	MW
deep-sea water	MW
deep-seawater	MW
denitrifying biofilm treating seawater	MW
dongshan bay	MW
east sea of korea	MW
eastern mediterranean water	MW
enrichment culture inoculated with microbial mat from coastal zone of meromictic lake	MW
filtered seawater (1 micrometer filter)	MW
filtered seawater (1um filter)	MW
filtered seawater (64um filter)	MW
filtered seawater; >63 micron fraction	MW
filtered seawater; 0.2-1 micron fraction	MW
filtered seawater; 1-5 micron fraction	MW
hypoxic seawater	MW
indian ocean	MW
tidal and seawater pools located at sewage sludge disposal sites	MW
tidal area	MW
tidal flat; seawater	MW
tidal marsh	MW
tidal pool	MW
water sample from palk bay	MW
oxic seawater	MW
oxycline seawater	MW
s. horneri debris floating on the surface of the seawater	MW
saanich inlet	MW
sea ice	MW
sea ice algal assemblage	MW
sea ice cryoconite	MW
single-cell amplified by mda; sargasso seawater	MW
sulfidic marine water cellulose enrichment	MW
surface coastal seawater	MW
surface marine water	MW
surface marine water in antarctica	MW
surface of a marine red alga	MW
surface of macroalgae in seawater	MW
surface of plastic from ocean	MW
surface sea water	MW
surface sea water coast of dokdo; korea	MW
surface sea water collected at malvarrosa beach	MW
surface sea water collected at malvarrosa beach; valencia	MW
surface sea water from the indian ocean	MW
surface sea water of the red sea	MW
surface seashore water	MW
surface seawater	MW
surface seawater cellected at malvarrosa beach; valencia; spain	MW
surface seawater from sea close to xiamen; china	MW
surface seawater from the bering sea	MW
surface seawater in a small lead in alaska	MW
surface seawater inoculated into a synthetic phycosphere	MW
surface seawater of malvarrosa	MW
surface seawater of south china sea	MW
surface seawater; north sea	MW
surface water (5 m depth) of the central baltic sea	MW
surface water from the caribbean sea	MW
surface water of the southern north sea	MW
surface water of the yellow sea	MW
surface water of xiamen coastal area	MW
surface water sample from the central red sea	MW
surface-sea water	MW
blue hole oxygen minimum zone seawater 60 m	MW
blue hole oxygen minimum zone seawater 95 m-106 m	MW
non-axenic culture inoculated from ocean water sample	MW
non-axenic mono-cyanobacterial microbial culture inoculated from subtidal seagrass beds	MW
single cell amplified by mda; hadopelagic water column of the puerto rico trench at 8200 m depth	MW
single cell amplified by mda; marine water	MW
single cell amplified by mda; pelagic marine waters	MW
single cell amplified by mda; raw seawater	MW
single cell amplified by mda; seawater	MW
single cell amplified by mda; surface seawater	MW
anoxic seawater	MW
polyethylene from seawater	MW
1 filament amplified by mda; aarhus bay cable garden enrichment	MW
1 filament amplified by mda; giber aa cable garden enrichment	MW
10 sea water samples from phytoplankton spring bloom collected during heincke cruise he327	MW
14-16 cm sediments from a site close to mussel colony in haima cold seep area in south china sea	MW
aerobic seawater sample	MW
arctic seawater	MW
ascidian colleted from the south sea	MW
biofilm on an acrylic slide in a coastal fish farm	MW
biofilter from a recirculating marine aquaculture	MW
bottom of first year landfast sea ice	MW
coast water	MW
coastal area of the south china sea	MW
coastal lagoon seawater	MW
coastal surface sea water	MW
coastal surface seawate	MW
coastal surface seawater of the yellow sea	MW
coastal surface water	MW
coastal water from the east coast	MW
coastal waters	MW
continental shelf sea water microbial communities	MW
costal seawater	MW
culture broth of a marine microalga	MW
deep chlorophyll maximum in the mediterranean off the coast of alicante; spain; 75m below sea surface	MW
enrichment culture inoculated from marine water sample	MW
natural near bottom seawater	MW
near cave entrance; scraping from roof of cave	MW
sea-ice	MW
sediment from sea cucumber culture	MW
sediment from sea cucumber culture pond	MW
sediment from the channel sea by roscoff	MW
water collected as part of the narragansett bay time series	MW
water from the baltic sea	MW
wave-exposed tide puddle	MW
baltic sea	MW
baltic sea ice	MW
black sea sulfidic water	MW
black sea sulfidic water cellulose enrichment	MW
isolated from fouling in the littoral zone of the white sea	MW
capian sea	MW
caspian sea 150 m depth	MW
caspian sea 15m depth	MW
caspian sea 50 m depth	MW
boothbay harbor; 1m depth	MW
cold seep	MW
contaminated marine agar	MW
dilbit-coated clay beads in seawater	MW
water from soesokkak	MW
subsurface (10-m) water samples were collected in niskinbottles at a station located 8 km west of the mouth of yaquina bay; oregon	MW
surfaces of algal species from antarctic marine coast and sea ice	MW
suspended particulate matter (spm) from the black sea western gyre	MW
synechococcus culture from coastal marine water	MW
synechococcus sp. wh 8007 enrichment culture from coastal seawater	MW
synechococcus sp. yx04-3 co-culture from sea water	MW
tanmen port	MW
the south china sea at depth of 2500m	MW
german wadden sea	MW
great australian bight water	MW
low tide zone	MW
near bottom seawater	MW
